"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"544","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.194,281,13547,7,1
"545","16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1343,457,13548,7,1
"546","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1343,847,13549,7,1
"547","18",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1045,741,13550,7,1
"548","19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.2537,582,13551,7,1
"549","20",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1642,403,13552,7,1
"550","21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.194,296,13553,7,1
"551","22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.194,209,13554,7,1
"552","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1642,114,13555,7,1
"553","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1343,64,13556,7,1
"554","1",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,17,13557,7,1
"555","2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,16,13558,7,1
"556","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,6,13559,7,1
"557","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,6,13560,7,1
"558","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1045,50,13561,7,1
"559","6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,190,13562,7,1
"560","7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1642,516,13563,7,1
"561","8",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.194,743,13564,7,1
"562","9",FALSE,TRUE,"Clear to partly cloudy",0.84,0.803,0.53,0,339,13565,7,1
"563","10",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7879,0.56,0.2985,218,13566,7,1
"564","11",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.3284,201,13567,7,1
"565","12",FALSE,TRUE,"Misty",0.82,0.7879,0.56,0.2239,229,13568,7,1
"566","13",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.2985,273,13569,7,1
"567","14",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.2239,244,13570,7,1
"568","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.49,0.2985,285,13571,7,1
"569","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2985,455,13572,7,1
"570","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.3284,869,13573,7,1
"571","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.3284,877,13574,7,1
"572","19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1642,632,13575,7,1
"573","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,523,13576,7,1
"574","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2239,378,13577,7,1
"575","22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,269,13578,7,1
"576","23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0.3284,192,13579,7,1
"577","0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.2985,66,13580,7,1
"578","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.194,28,13581,7,1
"579","2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.61,0.2239,12,13582,7,1
"580","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.2239,12,13583,7,1
"581","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.65,0.2239,4,13584,7,1
"582","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.65,0.1642,59,13585,7,1
"583","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.65,0.194,190,13586,7,1
"584","7",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.5,0.3284,507,13587,7,1
"585","8",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6364,0.42,0.2537,788,13588,7,1
"586","9",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6515,0.37,0.2985,342,13589,7,1
"587","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6515,0.37,0,231,13590,7,1
"588","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.33,0,281,13591,7,1
"589","12",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.33,0,310,13592,7,1
"590","13",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.31,0.1642,312,13593,7,1
"591","14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.29,0.1343,247,13594,7,1
"592","15",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.31,0.0896,317,13595,7,1
"593","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.29,0.1642,484,13596,7,1
"594","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.31,0,913,13597,7,1
"595","18",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.27,0.1343,891,13598,7,1
"596","19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.33,0.1343,698,13599,7,1
"597","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6515,0.4,0.1642,567,13600,7,1
"598","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6515,0.45,0.1343,397,13601,7,1
"599","22",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.1343,278,13602,7,1
"600","23",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.57,0.2985,239,13603,7,1
"601","0",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.194,92,13604,7,1
"602","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.2239,29,13605,7,1
"603","2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.69,0.2537,21,13606,7,1
"604","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.69,0.2239,8,13607,7,1
"605","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.74,0.194,4,13608,7,1
"606","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.74,0.194,42,13609,7,1
"607","6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.78,0.2537,181,13610,7,1
"608","7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.2537,495,13611,7,1
"609","8",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.2537,729,13612,7,1
"610","9",FALSE,TRUE,"Misty",0.72,0.6818,0.7,0.1343,344,13613,7,1
"611","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.2239,222,13614,7,1
"612","11",FALSE,TRUE,"Clear to partly cloudy",0.8,0.803,0.66,0.2239,212,13615,7,1
"613","12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.8182,0.56,0.2537,279,13616,7,1
"614","13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.8333,0.53,0.2985,242,13617,7,1
"615","14",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8788,0.47,0.2537,213,13618,7,1
"616","15",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8939,0.42,0.2985,238,13619,7,1
"617","16",FALSE,TRUE,"Clear to partly cloudy",0.94,0.8788,0.38,0.3881,374,13620,7,1
"618","17",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8636,0.45,0.4179,738,13621,7,1
"619","18",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8788,0.4,0.3582,688,13622,7,1
"620","19",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8636,0.45,0.3284,614,13623,7,1
"621","20",FALSE,TRUE,"Clear to partly cloudy",0.86,0.8182,0.5,0.2537,446,13624,7,1
"622","21",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.6119,271,13625,7,1
"623","22",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.6119,234,13626,7,1
"624","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,145,13627,7,1
"625","0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0,97,13628,7,1
"626","1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,54,13629,7,1
"627","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1343,26,13630,7,1
"628","3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1642,12,13631,7,1
"629","4",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0,8,13632,7,1
"630","5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,37,13633,7,1
"631","6",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0,139,13634,7,1
"632","7",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,410,13635,7,1
"633","8",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.0896,676,13636,7,1
"634","9",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.49,0.2836,363,13637,7,1
"635","10",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0,231,13638,7,1
"636","11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.3284,251,13639,7,1
"637","12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.3582,299,13640,7,1
"638","13",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.2836,314,13641,7,1
"639","14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.803,0.47,0.2985,326,13642,7,1
"640","15",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2239,323,13643,7,1
"641","16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.2239,499,13644,7,1
"642","17",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2836,699,13645,7,1
"643","18",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,622,13646,7,1
"644","19",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.194,516,13647,7,1
"645","20",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.1045,354,13648,7,1
"646","21",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.1045,260,13649,7,1
"647","22",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.1343,199,13650,7,1
"648","23",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0,189,13651,7,1
"649","0",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6818,0.62,0.1343,191,13652,7,1
"650","1",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0.0896,80,13653,7,1
"651","2",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0,90,13654,7,1
"652","3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0,43,13655,7,1
"653","4",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,11,13656,7,1
"654","5",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,14,13657,7,1
"655","6",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0.1045,50,13658,7,1
"656","7",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,76,13659,7,1
"657","8",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,163,13660,7,1
"658","9",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.59,0.1045,337,13661,7,1
"659","10",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.2239,395,13662,7,1
"660","11",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7424,0.39,0.2239,457,13663,7,1
"661","12",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7576,0.41,0.2239,487,13664,7,1
"662","13",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2836,498,13665,7,1
"663","14",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7727,0.39,0.2537,494,13666,7,1
"664","15",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7727,0.32,0.2836,497,13667,7,1
"665","16",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7727,0.39,0.2239,487,13668,7,1
"666","17",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.194,479,13669,7,1
"667","18",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7424,0.43,0.2836,481,13670,7,1
"668","19",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.83,0,338,13671,7,1
"669","20",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.2239,233,13672,7,1
"670","21",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.78,0.0896,300,13673,7,1
"671","22",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.78,0.0896,276,13674,7,1
"672","23",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,208,13675,7,1
"673","0",FALSE,FALSE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1343,188,13676,7,1
"674","1",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1045,158,13677,7,1
"675","2",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.74,0.1343,112,13678,7,1
"676","3",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.69,0.2239,55,13679,7,1
"677","4",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.69,0.194,13,13680,7,1
"678","5",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.78,0.194,17,13681,7,1
"679","6",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.73,0.1642,18,13682,7,1
"680","7",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.69,0.2537,40,13683,7,1
"681","8",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.65,0.2239,127,13684,7,1
"682","9",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.62,0.2537,226,13685,7,1
"683","10",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6818,0.62,0,381,13686,7,1
"684","11",FALSE,FALSE,"Clear to partly cloudy",0.76,0.697,0.55,0.2239,509,13687,7,1
"685","12",FALSE,FALSE,"Clear to partly cloudy",0.76,0.697,0.55,0.3284,511,13688,7,1
"686","13",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2239,483,13689,7,1
"687","14",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.46,0.194,522,13690,7,1
"688","15",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.43,0.1343,501,13691,7,1
"689","16",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.43,0.1343,521,13692,7,1
"690","17",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7424,0.41,0.1642,531,13693,7,1
"691","18",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2985,419,13694,7,1
"692","19",FALSE,FALSE,"Clear to partly cloudy",0.76,0.697,0.55,0.1642,443,13695,7,1
"693","20",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.1045,303,13696,7,1
"694","21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,271,13697,7,1
"695","22",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0.1045,148,13698,7,1
"696","23",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0,100,13699,7,1
"697","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.0896,58,13700,7,1
"698","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,19,13701,7,1
"699","2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.74,0,8,13702,7,1
"700","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,3,13703,7,1
"701","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,5,13704,7,1
"702","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1045,47,13705,7,1
"703","6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,161,13706,7,1
"704","7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.0896,469,13707,7,1
"705","8",FALSE,TRUE,"Misty",0.72,0.697,0.74,0.1045,751,13708,7,1
"706","9",FALSE,TRUE,"Misty",0.74,0.697,0.7,0,293,13709,7,1
"707","10",FALSE,TRUE,"Misty",0.74,0.697,0.66,0.2239,189,13710,7,1
"708","11",FALSE,TRUE,"Misty",0.78,0.7273,0.55,0.1343,215,13711,7,1
"709","12",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.1045,278,13712,7,1
"710","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1642,226,13713,7,1
"711","14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2239,254,13714,7,1
"712","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2537,236,13715,7,1
"713","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2836,425,13716,7,1
"714","17",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.55,0.3284,827,13717,7,1
"715","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.4179,812,13718,7,1
"716","19",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1642,665,13719,7,1
"717","20",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.2239,462,13720,7,1
"718","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,322,13721,7,1
"719","22",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.2239,230,13722,7,1
"720","23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.194,150,13723,7,1
"721","0",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1343,38,13724,7,1
"722","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,21,13725,7,1
"723","2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,8,13726,7,1
"724","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,6,13727,7,1
"725","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,6,13728,7,1
"726","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,45,13729,7,1
"727","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1642,194,13730,7,1
"728","7",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.83,0.2239,513,13731,7,1
"729","8",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1343,760,13732,7,1
"730","9",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,333,13733,7,1
"731","10",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0,227,13734,7,1
"732","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0,224,13735,7,1
"733","12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.46,0,248,13736,7,1
"734","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2836,288,13737,7,1
"735","14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2836,260,13738,7,1
"736","15",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1343,144,13739,7,1
"737","16",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.2239,402,13740,7,1
"738","17",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7121,0.52,0.2239,820,13741,7,1
"739","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.55,0.2836,857,13742,7,1
"740","19",FALSE,TRUE,"Light Precipitation",0.74,0.6818,0.62,0.3582,614,13743,7,1
"741","20",FALSE,TRUE,"Light Precipitation",0.7,0.6515,0.7,0.194,452,13744,7,1
"742","21",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.194,352,13745,7,1
"743","22",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.74,0.2537,257,13746,7,1
"744","23",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1642,147,13747,7,1
